timestamp,pupil_hardware_timestamp,event_count,active_model,num_bins,total_samples,current_rmse
1774611352.733543496,1774610862.001204967,14,Linear,7,298,14.338005314798803
1774611436.696445639,1774610946.388634920,44,Linear,9,446,17.82523555851656
1774611456.041643859,1774610964.601217985,56,Linear,11,498,27.20276077875395
1774611493.402604295,1774611001.304430007,71,Linear,16,653,43.56384191413205
1774611588.974634795,1774611099.179462909,117,Linear,23,983,34.891649751060854
1774611626.518684920,1774611133.496638059,127,Linear,24,1082,33.09267771944302
1774611680.070852494,1774611191.689918041,150,Linear,26,1182,34.16585934199154
1774611718.767321052,1774611227.037394046,166,Linear,27,1214,35.14293582497399
1774611719.138847507,1774611227.037394046,166,Linear,27,1214,35.14293582497399
1774611775.863294542,1774611274.490828037,183,Linear,27,1230,33.33773731001995
1774611811.355496476,1774611317.140588998,200,Radial Complete,29,1283,31.74871094595003
1774611856.179779761,1774611364.574773073,214,Radial Complete,29,1283,30.959892674072954
